Author_ID,Book_ISSN,Place_of_Publication,Year_of_Publication,TotalSales
513,53-764-5541,Paris,Lowbridge, 4613.40
46213,91-877-1466,Paris,Kleisle, 4183.63
46213,30-349-4579,London,Vasyatkin, 9779.98
2554,93-504-7743,toKyo,Gilbanks, 9630.27
55,24-967-2664,,Scrase, 7914.38
3641,39-266-1437,New York,Grute, 3145.60
253,86-692-5457,,Foran, 6538.20
963,29-480-1142,London,Speariett, 6744.75
3546,17-096-1203,NY,Cudd, 9615.43
55,70-474-1876,london,Gregolotti, 7318.53
63468,58-360-2068,toKyo,Lincey, 3277.15
2554,70-517-4545,toKyo,Agdahl, 1153.18
255,19-886-4944,London,Heggison, 9058.47
35465,48-287-7155,NY,Eisikovitsh, 1138.75
35465,80-840-4576,london,Braghini, 7257.20
2554,29-246-1526,NY,Conklin, 3187.93
3542,69-747-8034,Tokyo,Langrick, 6719.09
3566,44-618-4612,toKyo,Hearl, 9166.66
3542,96-401-8596,London,Petrov, 8584.94
513,44-375-2738,Tokyo,Edward, 9263.95
464,31-639-6337,New York,Pim, 1306.82
3542,11-535-2985,Paris,McCambrois, 8039.31
464,89-359-2210,London,Leither, 9071.43
253,82-590-6390,Tokyo,Dulin, 7934.08
513,27-334-7072,NY,Mees, 6630.10
55,27-910-7127,New York,Punchard, 8446.11
1336,26-817-3799,New York,McCarrison, 3688.15
253,52-894-7006,NY,Conwell, 9130.22
63468,12-211-9804,Paris,Esseby, 6582.91
1235,24-300-7032,london,Sharnock, 6765.70
35465,55-025-3457,Tokyo,Decruse, 4247.24
63468,49-533-9896,Tokyo,Wheatland, 4530.53
1336,06-532-3972,Tokyo,Hindmore, 9068.03
55,98-614-4281,london,Lampke, 823.26
458,12-582-1251,toKyo,Curnick, 7496.56
55,77-710-5152,toKyo,Geer, 2592.38
1336,37-775-4451,New York,Dahlberg, 1059.27
3546,40-349-4523,toKyo,Oldaker, 9328.40
55,69-365-6272,london,Genever, 2228.75
3546,00-403-1974,New York,Rennels, 9883.83
6963,68-574-3648,New York,Kippax, 5787.94
3566,27-516-7782,toKyo,Southcoat, 7156.27
2554,30-318-7074,New York,Gellett, 3156.33
3542,31-123-5046,Tokyo,Brokenshaw, 2539.00
464,23-176-9196,toKyo,Kramer, 6286.16
458,44-862-1383,London,Gregori, 5724.86
55,24-422-1462,Tokyo,Fowell, 3452.86
63468,51-142-9015,New York,Woodfin, 3548.61
3566,96-166-4309,Paris,Fryman, 2549.03
513,01-576-5259,toKyo,Philler, 7074.51
1336,05-488-2109,Paris,Stopper, 769.06
63468,89-355-6636,London,Bollis, 852.05
963,08-676-5449,Paris,Vassie, 2991.38
458,04-614-1334,london,Jeakins, 5488.02
458,47-787-0907,New York,Connechy, 6375.72
35465,24-089-5908,New York,Kirtland, 5979.08
253,95-852-3200,london,Rickard, 4286.06
35465,45-981-0526,London,Merigeau, 9865.51
253,22-467-3068,Paris,Crowden, 1529.68
63468,60-136-6930,toKyo,Bailiss, 3125.61
63468,40-003-1272,Paris,Bratchell, 9710.93
3542,41-722-0236,NY,Marzelo, 4683.37
2554,86-386-7138,NY,Whorall, 1695.22
3546,54-502-7493,london,Tabbernor, 6054.37
63468,11-120-4436,New York,Charrington, 8723.12
3641,71-990-1067,New York,Hamil, 9132.83
