Project_ID,Programming Language,Employee-1,Employee_2,Employee-3,Employee_4,Award,Currency
150901500-0,C++,2,2,2,0,179.13,USD
469478442-0,JAVA,2,0,0,2,427.70,Euro
707962809-1,JAVA,0,1,0,2,310.62,euro
624191030-2,PYTHON,0,0,1,2,266.44,Euro
982041603-5,r,2,0,1,2,307.84,JOD
534037131-X,R,0,2,2,2,113.10,euro
005920299-8,r,2,0,0,0,492.69,euro
900557101-2,PYTHON,0,0,2,0,108.51,USD
049349417-0,PYTHON,1,0,1,2,276.69,euro
328213410-X,R,1,2,0,1,215.22,JOD
809740260-2,python,0,2,2,2,242.52,jod
678569403-5,python,1,0,2,0,149.41,Euro
564792902-8,c++,1,1,1,2,319.23,euro
720210881-X,python,1,2,0,1,487.80,USD
468204847-3,R,2,0,1,2,231.88,euro
561569567-6,R,1,0,2,2,217.04,jod
164712465-4,c++,0,0,0,1,446.08,Dollar
475923462-4,python,1,2,1,2,486.18,euro
766204759-8,JAVA,1,0,2,0,401.20,Dollar
452748072-3,C++,2,1,1,0,204.07,Euro
080361078-5,,2,0,2,2,270.88,euro
794098505-1,r,2,0,2,2,257.66,jod
110384496-2,C++,0,2,0,1,419.06,euro
083436277-5,python,0,0,2,2,330.64,Dollar
782650524-0,c++,0,0,0,1,472.78,Dollar
715359565-1,python,2,1,1,1,336.23,euro
595168319-X,R,0,2,0,2,401.80,JOD
146874347-3,c++,1,0,1,1,380.40,USD
549038875-7,c++,2,0,0,1,294.37,jod
878238626-9,python,1,0,1,2,415.82,Dollar
242010481-1,PYTHON,2,1,1,2,456.53,jod
094538342-8,r,0,1,2,0,447.19,Euro
281097832-8,PYTHON,2,1,1,0,490.35,euro
875645679-4,C++,0,2,0,0,370.53,euro
306253769-8,python,0,0,1,0,117.18,Euro
046342109-4,JAVA,1,1,1,0,378.08,USD
859328459-0,python,2,2,0,0,325.41,JOD
532160156-9,PYTHON,0,2,1,0,410.34,euro
865457581-6,JAVA,0,1,0,2,411.05,JOD
952635723-X,JAVA,1,0,1,2,175.00,Euro
396991175-3,Python,2,1,1,1,113.05,USD
191251537-7,python,1,2,1,0,375.71,jod
202107671-7,java,1,1,0,0,394.55,Euro
155130485-6,PYTHON,2,1,1,2,490.13,jod
355611631-6,,2,2,2,2,285.61,USD
719642607-X,java,1,0,2,1,393.43,JOD
624959165-6,c++,0,2,0,0,255.34,JOD
264396984-7,python,1,2,0,0,128.58,jod
021544228-8,R,2,0,0,1,487.27,JOD
314049893-4,R,2,1,0,2,150.01,euro
324577595-4,PYTHON,1,2,1,0,392.79,Dollar
604131211-8,r,2,0,2,1,165.99,euro
633339314-2,python,1,2,2,1,193.86,jod
311104350-9,C++,0,2,2,1,111.50,euro
338021221-0,r,0,2,1,1,284.43,Dollar
335830114-1,,0,0,1,1,386.20,Dollar
928386412-3,PYTHON,2,0,1,1,484.30,jod
059023156-1,python,2,1,0,0,451.14,jod
279361099-2,JAVA,1,2,1,2,273.97,Dollar
932534004-6,JAVA,1,2,0,0,347.35,euro
868395820-5,R,2,2,2,1,409.33,Dollar
152220988-3,PYTHON,2,1,2,1,384.65,JOD
712157060-2,java,1,1,2,0,218.85,Dollar
418966887-7,,0,2,0,0,199.86,JOD
015577686-X,R,1,2,0,0,416.59,JOD
003351839-4,r,0,1,0,1,211.30,JOD
784282585-8,JAVA,1,2,0,1,293.54,USD
990956529-3,c++,0,0,0,2,369.58,euro
022623138-0,python,0,1,2,1,459.18,jod
531249528-X,python,2,0,1,2,362.01,Euro
430877630-9,C++,2,1,1,2,338.33,Dollar
138953864-8,java,2,0,0,1,199.35,jod
374504809-1,c++,0,2,2,1,347.67,euro
828484938-0,,2,1,1,0,288.80,USD
322046774-1,PYTHON,0,1,2,2,349.35,JOD
706670680-3,JAVA,2,1,0,2,313.97,Euro
921260382-3,R,1,1,1,1,443.43,Dollar
326154000-1,java,2,1,2,0,471.14,Dollar
697424615-3,r,0,0,1,1,368.01,euro
027432963-8,R,0,2,1,0,246.36,JOD
526731405-6,python,2,0,2,0,177.77,USD
664107188-X,JAVA,0,1,0,0,425.59,JOD
135971512-6,c++,2,0,0,0,406.34,jod
990155508-6,Python,1,0,0,2,165.06,JOD
711328388-8,java,0,0,1,2,431.94,USD
600170289-6,java,2,0,1,1,421.35,Euro
