Project-ID,Programming Language,Employee-1,Employee-2,Employee-3,Employee-4,Award,Currency
213514360-X,PYTHON,0,,0,0,296.90,JOD
352109245-3,JAVA,0,1,0,2,492.31,USD
511493139-3,R,0,1,0,1,248.35,Euro
362977116-5,c++,1,1,0,0,463.49,JOD
639262012-5,java,0,2,0,1,257.40,Euro
019351118-5,JAVA,0,2,1,0,325.46,Euro
136051225-X,c++,2,2,1,2,479.47,USD
198438429-5,java,1,2,1,0,268.21,Euro
634769055-1,c++,1,1,2,0,278.28,USD
966337206-0,Python,2,1,0,0,462.85,Euro
520895452-4,JAVA,0,1,2,0,444.22,Euro
098506001-8,JAVA,1,0,0,1,131.78,Euro
237992887-8,R,0,0,1,0,478.77,Euro
617603136-2,Python,0,2,0,0,494.15,USD
813953609-1,C++,0,0,0,1,258.75,USD
361926116-4,java,0,2,2,2,293.71,Euro
470125455-X,java,2,1,1,2,480.36,USD
413102223-0,PYTHON,2,1,1,1,452.56,USD
925149892-X,c++,0,1,2,1,461.27,Euro
894398490-1,JAVA,0,1,1,1,101.35,USD
944708374-9,c++,2,1,2,0,181.18,Euro
040739901-1,C++,1,2,2,2,341.45,Euro
362549794-8,PYTHON,0,2,1,2,106.10,USD
238886509-3,java,0,0,1,0,312.95,JOD
460476860-9,java,0,1,0,2,316.94,USD
750801225-9,c++,2,2,0,2,293.47,USD
523423031-7,C++,1,0,0,2,144.12,Euro
164409163-1,PYTHON,0,2,2,2,478.61,Euro
826208246-X,java,0,2,1,0,409.34,USD
383764643-2,Python,0,1,1,2,243.90,USD
317377512-0,c++,0,2,2,0,102.77,Euro
361175613-X,java,0,1,0,0,171.87,JOD
420982420-8,PYTHON,1,1,0,1,267.22,Euro
244338872-7,java,0,1,1,0,160.23,Euro
294403565-7,c++,0,2,2,0,255.37,JOD
784733976-5,Python,0,0,2,2,402.55,JOD
373142919-5,java,1,1,0,1,214.32,USD
974931421-2,C++,1,2,1,2,381.74,JOD
