Company,Country,Department-1,Department-2,Department-3,Department-4,Salary,Currency
584305326-1,Egypt,1,1,1,2,975.32,usd
551424727-9,egypt,2,0,0,2,819.89,usd
712097876-4,egypt,2,1,1,0,647.64,$
499358143-2,Jordan,0,1,2,2,1088.78,Euro
841327917-8,egypt,0,2,2,2,1301.98,euro
655471858-3,egypt,0,0,1,1,1368.59,Euro
183888342-8,jod,1,1,0,0,754.04,USD
452343357-7,egypt,1,0,2,2,779.60,USD
224437294-4,Kuwait,1,2,1,0,695.05,$
788828447-7,JOD,0,0,2,1,1089.53,$
398367621-9,Egypt,2,1,1,1,919.72,JOD
705341996-7,JOD,2,1,2,1,1152.10,usd
329595807-6,Kuwait,0,2,1,2,1219.01,usd
932004439-2,Kuwait,2,2,1,2,1113.31,USD
685660880-2,Jordan,0,0,1,0,1293.92,usd
515266194-2,jod,1,1,2,2,1334.73,usd
772738390-2,jod,2,2,1,2,1020.75,usd
200997751-3,JOD,2,2,0,0,1196.38,euro
867917379-7,jod,2,0,1,0,901.62,$
131281757-7,Jordan,0,0,2,2,931.51,JOD
619438148-5,egypt,2,2,2,2,786.76,euro
962981605-9,JOD,2,2,1,1,615.85,$
791636505-7,JOD,1,2,2,1,1177.38,JOD
194124029-1,Kuwait,2,2,0,1,1320.13,USD
366678254-X,Jordan,0,2,1,0,735.57,usd
951340833-7,JOD,1,1,2,2,1498.70,$
429747674-6,egypt,1,2,1,2,1235.11,euro
558708399-3,Kuwait,2,1,1,0,639.99,USD
638905974-4,JOD,1,0,2,1,661.61,usd
706313975-4,Jordan,0,0,1,0,1436.57,JOD
959549665-0,Kuwait,0,2,2,2,806.78,USD
839070114-6,jod,0,1,1,2,1066.85,usd
335654799-2,JOD,1,1,2,2,1078.08,$
288729381-8,Kuwait,2,2,1,0,767.29,JOD
043120050-5,Kuwait,2,1,1,2,1139.75,$
083668545-8,egypt,2,0,2,0,906.06,euro
702112448-1,Kuwait,2,0,1,0,978.14,$
798838883-5,Kuwait,1,2,2,1,1143.69,$
518762741-4,jod,1,1,1,1,1057.17,JOD
612429519-9,egypt,2,0,0,2,924.05,JOD
357839605-2,egypt,2,1,0,0,1267.45,JOD
317243513-X,Egypt,1,0,0,0,615.45,usd
718950126-6,jod,2,1,0,1,1265.01,$
319812151-5,JOD,1,1,0,2,1462.07,$
692858163-8,egypt,0,2,2,0,1160.56,euro
151227850-5,jod,2,0,0,0,810.83,euro
480599770-2,Jordan,2,0,0,2,1490.52,$
181957592-6,Jordan,1,0,1,0,1202.71,Euro
867431144-X,egypt,0,2,1,2,1226.18,JOD
879265868-7,Egypt,2,0,1,1,1075.11,usd
050476129-3,Kuwait,1,2,1,0,1391.53,$
813022216-7,Egypt,0,2,1,1,1318.24,usd
144473466-0,Kuwait,0,1,1,2,738.07,$
473823218-5,jod,1,0,1,2,703.58,$
567460273-5,jod,0,0,1,0,1177.61,usd
515454700-4,Kuwait,2,1,2,2,1018.24,$
542573684-3,JOD,2,1,0,2,1002.92,Euro
768920377-9,Kuwait,2,0,1,0,1294.70,USD
302067462-X,egypt,0,1,1,2,1171.75,USD
853356064-8,jod,2,0,1,2,1281.56,usd
590522209-6,JOD,0,0,1,0,1257.16,euro
774907826-6,Egypt,0,0,0,0,729.37,euro
367463205-5,jod,2,2,1,1,1458.43,usd
393844549-1,JOD,0,2,1,2,1423.80,Euro
638823033-4,Jordan,0,0,0,2,879.06,USD
969350385-6,Jordan,2,0,1,1,1009.90,JOD
804535623-5,Jordan,0,1,2,2,708.86,JOD
390671279-6,Kuwait,1,1,1,0,1376.65,JOD
256158968-4,egypt,2,2,2,0,1137.68,euro
663019998-7,egypt,1,2,1,2,741.52,$
279691801-7,Jordan,1,2,0,2,1095.08,USD
244356465-7,egypt,1,2,1,1,1165.09,USD
889393663-1,egypt,2,2,2,2,1085.95,euro
233470161-0,Kuwait,0,1,0,0,1012.38,USD
282482197-3,JOD,1,0,0,2,916.54,usd
506355263-3,egypt,1,2,2,2,1127.75,JOD
721052834-2,JOD,2,2,0,2,949.76,$
210211705-7,jod,0,0,0,1,1252.75,euro
254074099-5,Kuwait,0,1,1,2,737.09,euro
609939387-0,jod,2,1,1,1,1337.53,$
714445303-3,JOD,1,1,0,1,828.67,usd
805676773-8,Kuwait,2,0,1,2,745.56,$
727038212-3,egypt,0,2,1,2,973.69,Euro
556496020-3,Egypt,0,1,0,1,1444.79,JOD
621372427-3,Jordan,0,0,0,0,1375.25,$
842508591-8,JOD,1,0,2,1,1063.24,$
586597041-0,egypt,0,0,1,2,1178.52,JOD
659800547-7,jod,2,2,1,1,743.19,Euro
461200961-4,JOD,1,0,0,2,1048.33,$
700790651-6,Egypt,0,1,2,0,631.29,usd
929275553-6,Egypt,1,0,1,0,1396.65,JOD
679199659-5,Kuwait,2,0,2,0,1415.24,usd
203577300-8,jod,0,2,1,1,877.47,JOD
016609181-2,egypt,0,0,0,2,841.12,$
620995042-6,Kuwait,2,2,1,0,1131.64,$
317813897-8,JOD,1,1,2,2,1396.12,usd
045360459-5,egypt,2,1,2,1,1447.30,USD
570587795-1,jod,1,1,0,0,835.38,JOD
472254507-3,Egypt,1,1,2,2,652.36,JOD
390329511-6,Kuwait,2,2,0,2,875.29,usd
551229461-X,JOD,2,1,2,1,1237.05,JOD
246465705-0,Egypt,2,2,1,2,874.64,JOD
220927892-9,JOD,1,0,1,0,1247.62,USD
582184205-0,Egypt,1,2,2,2,952.97,JOD
287283694-2,Kuwait,0,2,1,0,1110.92,JOD
410049709-1,Egypt,1,2,2,0,833.25,euro
048335178-4,jod,1,0,1,1,868.96,USD
818878687-X,Egypt,1,1,0,2,885.07,euro
905217205-6,egypt,2,1,0,0,1113.39,$
693944675-3,Jordan,1,0,2,1,854.90,Euro
204796057-6,Kuwait,0,1,1,1,1426.45,JOD
889542543-X,Egypt,0,0,1,1,1016.92,USD
073355814-3,jod,2,0,1,2,1078.57,Euro
693972362-5,jod,0,0,1,0,1168.70,JOD
800952317-8,Jordan,0,0,2,1,1072.90,USD
517123881-2,jod,1,1,1,0,1206.86,USD
542608548-X,Egypt,0,1,1,0,899.40,JOD
869019957-8,jod,0,1,0,0,1162.01,usd
691834292-4,Jordan,2,0,0,0,1452.49,Euro
310820077-1,Jordan,1,0,1,0,876.62,usd
520662043-2,Jordan,1,0,1,2,1183.10,usd
906371910-8,JOD,0,0,1,2,1132.11,USD
