Item_id,Item Type ,Store1,Store2,Store3,Store4,Sales,Currency
14-617-2356,DR,0,1,1,0,338.05,Euro
55-285-6922,F,0,0,0,1,427.21,Euro
92-040-3785,F,1,1,1,0,417.88,Euro
93-349-2448,DR,0,1,1,1,436.22,Euro
71-312-8167,DR,1,1,1,1,367.62,Dollar
69-526-5784,f,0,0,0,0,372.23,Dollar
15-983-0725,DR,0,0,1,1,351.76,Euro
90-323-7181,DR,0,0,0,1,304.58,Euro
08-520-2774,f,1,1,0,0,371.61,Dollar
63-327-1421,Food,0,0,1,1,346.25,Euro
88-419-0862,Food,1,1,0,1,279.02,Dollar
18-865-7394,f,1,0,1,1,477.83,Euro
19-204-2209,Food,0,0,0,1,482.71,Euro
85-655-8199,F,1,0,1,0,354.35,Euro
47-936-2188,DR,0,1,0,0,448.21,Dollar
00-105-1333,F,1,0,0,1,476.96,Euro
92-384-3722,Drink,1,0,1,0,260.98,Euro
02-948-5052,f,1,1,0,1,476.74,Dollar
23-212-5717,Food,0,1,1,0,332.79,Euro
60-192-9532,DR,1,1,1,1,345.39,Euro
88-957-4016,Drink,0,1,1,1,473.06,Dollar
90-487-9641,f,1,0,0,1,,Euro
15-524-8332,F,1,1,1,1,380.88,Dollar
99-086-2892,Food,1,0,0,0,330.67,Euro
66-374-9647,f,1,1,0,1,340.92,Euro
67-624-5177,f,1,0,0,0,493.64,Euro
81-745-0953,DR,0,1,1,1,383.65,Dollar
77-451-7479,DR,1,1,1,1,251.08,Euro
31-568-1434,Food,1,0,0,0,382.06,Dollar
30-499-5481,F,0,0,0,1,428.12,Dollar
45-073-0020,Drink,0,0,1,1,460.44,Dollar
46-165-2583,F,1,0,1,1,269.36,Dollar
66-450-2704,F,1,1,0,0,464.09,Dollar
12-892-2442,Drink,1,1,1,0,310.16,Euro
64-129-5311,DR,1,1,0,0,318.66,Dollar
53-099-7399,F,1,0,0,0,258.60,Euro
08-539-9107,Food,0,1,0,0,391.69,Euro
14-550-3033,DR,1,0,0,1,494.59,Dollar
12-040-5391,DR,1,1,1,0,353.94,Dollar
91-853-8097,,0,0,1,1,367.36,Euro
16-418-9936,F,0,0,0,1,495.51,Dollar
43-048-4964,f,0,1,1,1,256.68,Dollar
46-655-3573,F,1,0,0,0,472.61,Dollar
85-143-3315,F,1,0,0,0,312.16,Euro
33-192-2853,F,0,0,0,1,,Dollar
96-057-9742,DR,0,0,0,0,253.54,Dollar
38-333-3503,F,0,1,0,0,420.69,Euro
79-917-9256,Drink,1,1,0,0,324.02,Dollar
01-630-5008,F,1,0,0,0,432.63,Euro
14-426-3875,DR,0,0,0,1,384.77,Dollar
96-354-8392,DR,0,0,1,0,341.01,Euro
24-797-6841,f,1,0,1,0,303.54,Dollar
97-312-4788,DR,1,1,0,0,478.52,Euro
82-744-2947,Drink,1,1,1,0,383.36,Euro
14-809-1590,Drink,0,1,0,1,339.39,Dollar
58-156-8574,F,1,0,0,1,483.66,Dollar
17-801-1573,Food,0,1,1,1,310.35,Dollar
50-496-0350,Food,0,1,0,0,260.66,Dollar
93-448-5897,DR,0,1,0,0,424.83,Euro
06-509-2833,Drink,1,0,1,0,330.81,Dollar
40-551-1680,Drink,1,1,1,0,288.62,Euro
29-653-8833,Drink,0,1,0,1,360.32,Euro
13-650-0797,f,0,1,0,1,425.11,Dollar
58-583-1676,F,1,1,0,0,398.88,Dollar
19-284-0920,DR,1,0,1,0,252.66,Euro
95-232-5561,F,0,1,0,1,411.74,Euro
01-175-1955,Drink,0,0,1,1,308.04,Euro
24-137-5434,Food,1,1,0,0,349.58,Dollar
46-601-4680,f,1,1,0,1,499.25,Euro
95-124-0516,f,1,1,1,1,281.90,Dollar
64-226-9968,f,0,0,0,0,424.56,Dollar
26-293-6495,,1,1,0,0,304.20,Dollar
27-638-5422,f,1,1,0,1,392.06,Euro
59-856-0506,F,1,1,1,1,274.64,Euro
05-329-9168,F,1,0,1,0,310.64,Euro
34-382-6017,Drink,1,0,0,0,261.83,Euro
19-238-7411,Drink,0,1,0,0,392.69,Dollar
40-544-1351,F,0,0,0,1,390.01,Dollar
52-791-1556,f,0,1,0,1,478.81,Dollar
57-679-4388,Food,1,0,0,1,395.95,Dollar
38-527-8622,F,0,0,1,1,408.91,Dollar
12-681-9849,DR,0,0,1,0,326.09,Dollar
87-133-1200,f,0,1,1,1,462.61,Euro
97-540-5981,,1,0,0,0,396.49,Dollar
60-075-4386,Drink,0,0,1,1,478.24,Dollar
50-501-2255,DR,0,1,1,0,353.56,Euro
13-559-1723,Drink,1,1,1,1,450.94,Dollar
41-150-2550,DR,0,1,0,1,429.37,Dollar
78-513-0959,F,0,1,0,1,391.96,Dollar
66-413-0497,Food,1,1,0,1,332.50,Euro
67-166-0687,DR,0,1,1,1,338.81,Euro
33-640-2231,DR,0,0,1,1,315.31,Euro
92-670-1652,Food,1,0,1,1,382.92,Euro
15-556-8012,f,0,1,1,1,378.43,Euro
81-836-2552,DR,0,1,0,0,354.48,Euro
66-766-0620,Drink,0,1,0,0,459.81,Euro
76-672-6420,,1,0,1,0,365.87,Euro
27-867-3950,F,1,0,1,1,346.98,Euro
55-992-6601,f,0,0,1,1,323.23,Euro
60-293-4289,f,0,1,1,1,489.37,Dollar
49-688-3169,DR,0,0,0,0,362.82,Dollar
98-973-1421,F,0,1,0,0,481.63,Dollar
57-857-6694,Drink,1,0,1,0,352.23,Euro
82-220-3172,Drink,1,0,1,0,448.98,Euro
05-001-4955,DR,0,1,0,1,476.02,Euro
12-906-9925,DR,1,0,1,0,344.42,Dollar
20-715-6724,Drink,0,0,1,1,293.85,Dollar
71-179-6726,Food,1,0,1,1,477.94,Euro
01-580-6080,Food,1,1,1,1,305.27,Euro
98-162-8074,DR,1,1,0,0,411.12,Dollar
65-421-5027,Food,0,0,1,1,271.96,Dollar
96-201-8407,DR,1,1,1,1,,Dollar
68-288-0513,f,0,1,0,1,431.12,Dollar
59-294-9777,F,0,0,0,1,432.09,Dollar
28-305-9400,Drink,0,0,1,0,320.55,Dollar
73-672-2045,f,0,0,1,1,373.31,Euro
38-066-5109,f,0,1,0,1,392.88,Euro
88-724-1330,f,0,1,1,0,310.81,Dollar
18-029-7978,Food,0,1,1,1,310.13,Euro
67-531-7575,F,1,1,0,0,422.63,Dollar
47-774-1222,DR,1,1,0,1,371.91,Euro
78-507-6630,f,1,1,0,1,317.30,Euro
07-798-9964,Drink,0,0,1,0,492.47,Euro
71-309-7478,Drink,1,0,0,1,313.72,Dollar
23-979-3059,DR,1,0,1,1,373.81,Dollar
56-230-2320,Food,0,0,0,0,308.69,Dollar
17-909-8364,DR,0,0,0,1,443.50,Dollar
87-435-8020,DR,0,1,1,1,348.93,Euro
38-231-9171,Food,0,0,1,0,482.62,Euro
69-019-2396,F,0,1,0,0,407.38,Euro
72-115-3430,DR,0,1,0,1,398.89,Dollar
45-237-7369,f,0,0,1,1,406.89,Euro
12-066-1194,Food,0,0,0,0,393.07,Euro
76-312-2439,f,1,0,1,1,483.66,Euro
14-926-1992,DR,1,0,0,1,270.72,Euro
80-494-5979,,1,1,0,0,362.28,Dollar
68-642-8818,f,0,0,0,0,429.06,Dollar
78-134-5112,f,0,1,0,1,475.78,Euro
45-695-3221,f,1,0,0,0,276.62,Dollar
72-187-1141,DR,0,1,1,0,343.24,Euro
25-410-9426,DR,0,0,0,0,335.98,Dollar
99-359-4795,Food,0,1,1,1,442.30,Euro
27-538-5271,Drink,1,0,1,0,314.27,Dollar
71-906-5204,F,0,0,0,1,398.69,Euro
97-371-4463,DR,1,0,1,1,274.16,Euro
57-801-9608,Food,0,1,1,1,480.01,Euro
27-525-4613,DR,0,1,1,1,383.55,Dollar
49-585-7910,Food,1,1,0,1,349.10,Dollar
37-599-7445,Drink,1,0,1,1,430.48,Dollar
60-684-8482,f,0,0,0,0,492.13,Dollar
13-101-2205,DR,0,0,0,1,323.93,Dollar
21-564-3188,F,0,1,0,0,401.26,Dollar
24-277-9251,DR,0,1,0,1,,Dollar
72-993-7678,Food,1,1,1,0,479.71,Euro
35-831-4971,f,0,1,0,0,431.48,Dollar
64-206-7845,F,0,1,1,0,484.91,Euro
61-453-2333,Drink,0,1,0,0,458.09,Euro
41-786-8062,DR,0,1,0,1,490.12,Dollar
10-738-4619,DR,0,1,0,0,284.34,Euro
10-264-9861,Drink,1,0,1,0,471.09,Dollar
57-469-1119,DR,1,0,0,0,493.13,Dollar
18-879-4216,Drink,0,0,1,1,427.06,Euro
76-970-6073,Food,1,1,1,0,420.85,Dollar
61-005-9863,F,1,0,0,0,399.20,Dollar
15-351-5499,F,1,1,0,1,391.97,Euro
15-255-8134,Food,1,1,1,1,373.82,Euro
15-051-8206,F,1,0,1,1,424.65,Euro
58-117-6332,Food,0,1,1,0,375.50,Euro
11-513-9131,Drink,0,0,1,0,323.32,Dollar
78-872-1601,Food,1,1,0,1,255.61,Dollar
40-691-0133,F,1,0,1,0,473.22,Euro
50-595-1281,Drink,1,1,0,0,436.67,Dollar
