Store_ID,City,Item_1,Item_2,Item_3,Item_4,Monthly_Sales,Currency
470789465-8,Capital City,2,2,2,1,21631.12,JOD
444962237-5,A'zarqa,2,2,1,1,27876.46,USD
043543745-3,amman,1,1,2,2,33130.44,JOD
397693305-8,A'zarqa,0,2,2,2,51041.22,USD
376865083-9,A'zarqa,2,1,1,2,47342.54,JOD
133372046-7,A'zarqa,0,1,1,0,21738.99,USD
165424027-3,amman,2,2,0,2,18549.63,USD
298126334-X,Zarqa,1,2,0,2,19424.84,JOD
921319090-5,Capital City,2,0,2,0,12208.43,USD
282701267-7,zaqra,2,0,1,0,34268.89,JOD
881067451-0,zaqra,1,1,1,1,26484.36,USD
106427649-0,Capital City,0,0,0,2,13497.95,JOD
879393562-5,Amman,0,0,0,1,51834.39,JOD
967386873-5,Zarqa,1,1,1,1,27500.47,JOD
659039535-7,amman,2,1,2,0,12643.53,USD
561576836-3,,0,0,2,0,41293.47,USD
873519359-X,amman,0,1,1,0,45254.65,JOD
397153198-9,Amman,2,0,2,1,40462.69,JOD
917408795-9,Amman,0,0,2,0,40067.54,JOD
990914099-3,zaqra,1,0,1,0,36055.01,USD
619079022-4,Amman,2,0,0,0,15727.32,USD
278559599-8,amman,1,2,0,2,33869.45,JOD
423464242-8,Capital City,2,0,2,2,32015.66,USD
456952398-6,A'zarqa,2,1,1,1,28961.64,JOD
200258337-4,Amman,0,1,2,2,38087.70,JOD
524579666-X,amman,1,2,1,1,38204.29,USD
144279135-7,A'zarqa,0,0,0,0,29583.12,USD
521600962-0,amman,1,2,2,1,22271.64,USD
957839337-7,amman,1,2,0,0,45302.76,JOD
885159215-2,A'zarqa,1,0,0,1,20132.02,JOD
589697907-X,zaqra,0,0,1,0,18470.05,JOD
983930886-6,Amman,0,1,2,2,30720.10,USD
288265641-6,Amman,1,2,1,2,20107.79,JOD
294102162-0,Zarqa,0,0,2,2,34986.77,USD
506170230-1,zaqra,2,2,0,0,37294.02,JOD
506964490-4,Zarqa,2,0,1,2,20633.75,USD
541718021-1,Amman,0,2,0,0,50269.82,JOD
493547328-2,Zarqa,1,1,1,0,25029.00,USD
835694970-X,Capital City,2,2,2,0,18802.86,JOD
963647756-6,zaqra,2,2,2,0,22473.62,USD
406615782-3,amman,0,2,0,1,18211.39,JOD
018795724-X,Capital City,2,2,2,0,28974.99,JOD
425666093-3,Zarqa,1,2,1,2,20151.88,JOD
030645344-4,A'zarqa,0,2,2,2,35573.50,JOD
073991698-X,zaqra,2,2,2,0,27018.02,USD
701222127-5,Amman,1,0,1,1,44558.92,JOD
029721521-3,zaqra,2,0,1,2,43763.40,JOD
998807146-9,A'zarqa,2,0,2,1,17507.89,JOD
711434928-9,,2,0,0,1,16811.20,JOD
692652404-1,amman,2,1,1,2,12214.35,JOD
884064077-0,amman,0,0,2,2,24047.88,JOD
711674762-1,Zarqa,0,1,2,1,22756.14,JOD
272470841-5,Capital City,1,1,0,0,37779.09,USD
695541496-8,Amman,1,0,1,2,38317.43,JOD
705256128-X,A'zarqa,1,2,2,2,22694.59,JOD
305797066-4,Zarqa,0,1,0,2,36628.45,JOD
709639572-5,Amman,2,0,0,1,14098.53,JOD
807255400-X,Amman,1,2,0,1,20429.58,JOD
593447542-8,zaqra,0,0,1,0,29287.02,JOD
460326552-2,Capital City,1,0,0,0,48255.22,USD
104313700-9,A'zarqa,2,0,1,1,44808.07,USD
163848560-7,Zarqa,2,1,2,0,24718.62,USD
721864015-X,amman,2,2,1,0,41754.01,USD
238198893-9,Zarqa,2,2,0,2,50707.41,USD
113995690-6,amman,0,2,2,0,15605.11,JOD
771835163-7,Amman,0,2,0,1,49924.71,JOD
507825909-0,zaqra,1,1,1,1,45941.87,USD
747556324-3,amman,2,2,2,2,21395.98,USD
551528033-4,amman,0,2,0,1,33776.33,USD
650250545-7,A'zarqa,2,0,0,1,47777.09,USD
671222440-3,amman,2,0,1,0,12137.46,USD
038809417-6,A'zarqa,0,0,1,1,48258.06,JOD
112065605-2,Zarqa,1,1,1,0,48563.56,USD
213459465-9,A'zarqa,1,2,1,1,46308.91,JOD
306444932-X,zaqra,0,0,0,1,17726.51,JOD
550318536-6,Amman,0,1,0,2,44176.45,JOD
537252690-4,Zarqa,0,1,1,2,18082.73,JOD
366713160-7,Zarqa,2,2,1,0,51546.06,USD
703736060-0,A'zarqa,2,0,1,2,19603.36,JOD
053953695-4,zaqra,1,0,2,1,13455.15,JOD
643221852-7,A'zarqa,0,2,1,2,51738.73,JOD
050517307-7,Amman,1,1,1,1,32900.77,USD
583674316-9,,2,1,2,0,35533.75,USD
294169325-4,A'zarqa,2,1,1,2,23269.38,USD
280316657-7,Amman,1,1,1,0,15498.42,JOD
