ProjectID,Programming Language,Employee-1,Employee-2,Employee-3,Employee-4,Award,Currency
867796664-1,C++,0,1,0,2,426.79,USD
303862471-3,C++,1,2,1,2,425.87,JOD
987469894-2,JAVA,1,2,2,2,210.71,Euro
990581690-9,PYTHON,1,1,2,2,478.83,JOD
445060105-X,c++,1,2,2,0,438.73,jod
931731795-2,r,2,2,0,2,173.95,jod
321808231-5,c++,2,2,1,2,277.29,Euro
897683143-8,r,2,1,1,2,457.76,USD
528882690-0,R,1,0,2,1,362.03,JOD
644229802-7,PYTHON,1,2,2,0,205.52,USD
188249783-X,r,2,1,1,0,336.14,euro
474470309-7,c++,0,1,2,1,382.92,Euro
862223133-X,Python,1,1,1,1,367.96,Euro
820944988-5,java,2,1,1,0,435.66,euro
993104080-7,java,2,1,2,2,438.39,jod
374295635-3,c++,0,2,1,2,327.78,euro
399387702-0,C++,2,2,2,0,453.10,euro
618275771-X,C++,1,1,1,0,273.23,USD
090876689-0,r,1,1,1,2,194.97,JOD
153721751-8,R,0,2,0,0,356.93,USD
520898288-9,c++,2,0,2,1,210.73,JOD
882664098-X,python,2,2,1,0,256.24,Euro
906778982-8,python,1,0,1,0,325.53,jod
922399732-1,java,0,2,0,1,311.92,Dollar
761905965-2,R,1,2,1,0,493.05,JOD
050007906-4,R,2,2,0,0,482.21,Euro
305557111-8,java,2,0,1,2,425.37,Euro
979833393-4,PYTHON,0,2,0,1,273.16,jod
660098518-6,JAVA,2,2,2,0,353.54,Dollar
095037129-7,Python,1,2,2,0,448.06,Euro
939517965-1,Python,2,2,2,2,375.83,jod
081043190-4,r,2,1,1,0,391.57,euro
776471243-4,PYTHON,2,0,1,1,442.74,jod
683360465-7,PYTHON,1,0,1,2,324.58,Dollar
717095525-3,PYTHON,0,0,2,0,324.67,euro
837302052-7,python,0,1,2,0,163.24,jod
486153475-5,JAVA,1,1,0,0,271.44,euro
347688424-4,python,1,1,1,2,260.19,USD
524232541-0,c++,1,1,1,0,429.61,euro
996387704-4,r,0,0,0,1,143.81,euro
020642520-1,r,1,2,1,0,384.97,USD
078721849-9,r,0,1,0,1,483.19,USD
417569092-1,Python,0,2,1,0,185.40,USD
346184329-6,c++,1,0,2,2,112.90,jod
693594735-9,Python,1,2,2,0,478.22,euro
032354069-4,Python,0,1,2,2,224.64,Euro
370494535-8,JAVA,2,1,2,1,129.29,jod
888865664-2,R,2,1,0,0,294.40,Euro
946322691-5,c++,2,1,1,0,101.89,Dollar
453026201-4,R,0,1,2,2,125.11,euro
760004570-2,JAVA,1,1,1,2,246.51,jod
518720568-4,r,0,0,0,2,228.14,euro
061699499-0,R,2,2,1,0,208.60,Euro
388103779-9,r,1,2,1,2,266.17,euro
568231472-7,python,1,0,1,2,263.26,USD
422148647-3,C++,0,0,1,2,451.91,jod
546917400-X,Python,1,2,1,0,329.01,jod
125351958-7,python,2,2,0,2,287.98,euro
886831326-X,Python,0,0,0,1,486.35,Dollar
307703813-7,r,1,0,2,1,372.64,Euro
654370246-X,java,2,1,0,1,362.46,JOD
783476913-8,r,0,2,1,1,265.00,JOD
487201199-6,java,2,1,0,2,181.84,Dollar
856522760-X,,1,1,0,2,259.65,euro
242824185-0,java,1,2,1,1,473.54,jod
493237911-0,python,2,1,1,2,214.77,jod
984869243-6,python,1,1,1,2,330.76,JOD
765212105-1,C++,2,2,1,2,488.48,JOD
681901865-7,,0,1,2,0,241.32,Dollar
402827440-0,R,2,2,1,2,345.81,Euro
158264152-8,r,1,2,2,0,277.93,USD
837402120-9,java,1,2,0,1,243.76,JOD
607575804-6,c++,2,2,0,2,407.26,euro
938900831-X,C++,0,0,2,1,131.68,Euro
963835806-8,,2,0,0,1,305.90,Euro
856213323-X,r,1,0,2,1,291.85,Euro
797286152-8,PYTHON,2,2,0,2,418.99,euro
185797050-0,PYTHON,2,0,1,1,153.59,Dollar
459704675-5,PYTHON,2,1,1,1,106.14,Dollar
407191533-1,PYTHON,1,2,2,2,441.34,euro
402541776-6,Python,2,1,2,1,113.96,jod
307109707-7,JAVA,1,2,2,0,294.05,euro
374007570-8,java,0,0,1,2,384.04,USD
375605256-7,java,0,1,2,0,266.18,Dollar
557215374-5,,0,2,2,0,451.01,USD
076957170-0,PYTHON,1,0,0,0,312.14,USD
971532041-4,c++,0,2,2,2,110.82,Euro
191415508-4,python,0,1,2,1,195.46,euro
856066242-1,PYTHON,2,2,0,2,294.70,Euro
833218957-8,PYTHON,0,1,1,1,435.22,Dollar
093127097-9,JAVA,2,1,1,1,380.33,Dollar
506693227-5,PYTHON,1,1,1,2,325.32,jod
478483744-2,c++,0,2,1,0,260.64,JOD
595060954-9,java,2,0,2,2,263.55,USD
131696356-X,c++,1,1,0,1,328.36,JOD
229074390-9,C++,1,0,1,1,412.49,Euro
197857881-4,JAVA,2,2,2,2,183.19,Dollar
235412928-9,,2,1,2,2,228.27,Euro
649582584-6,r,1,1,2,2,484.17,Dollar
678082167-5,Python,0,2,2,0,450.36,euro
238091088-X,java,0,1,2,0,265.35,Euro
841844911-X,JAVA,2,0,0,0,486.37,USD
386829350-7,C++,1,0,2,2,421.48,Dollar
582331918-5,R,0,0,0,0,379.95,Euro
498152922-8,r,2,2,1,1,262.67,Dollar
445028328-7,JAVA,0,1,2,0,273.87,USD
173098521-1,c++,2,0,0,0,486.13,jod
