ProjectID,Programming Language,Employee1,Employee2,Employee3,Employee4,Award,Currency
064240518-2,C++,1,1,1,0,296.00,Euro
587621689-5,C++,2,1,2,1,454.68,USD
695223565-5,PYTHON,0,2,1,2,105.66,JOD
810297572-5,java,2,2,1,0,220.93,Euro
121243496-X,Python,0,2,2,1,144.46,USD
993515544-7,JAVA,1,0,0,0,133.09,USD
027927385-1,C++,0,2,1,2,229.30,JOD
139303140-4,c++,1,0,2,2,275.05,Euro
822412344-8,c++,0,2,1,2,284.25,Euro
207230346-X,PYTHON,2,0,0,2,106.10,Euro
489454434-2,C++,2,1,0,1,497.13,JOD
811740734-5,JAVA,1,1,2,2,105.42,Euro
960269126-3,PYTHON,2,1,1,0,323.02,USD
272139132-1,PYTHON,0,2,0,1,293.00,JOD
661222873-3,Python,0,1,1,2,175.23,Euro
286994204-4,java,2,,1,1,227.89,Euro
206197320-5,R,2,2,1,0,286.86,JOD
109111658-X,,1,1,0,0,141.52,USD
767743250-6,Python,1,0,2,0,269.71,Euro
127289026-0,c++,2,1,2,2,276.38,JOD
381401829-X,R,0,0,1,0,173.11,Euro
563798437-9,PYTHON,1,2,0,2,144.74,Euro
371903998-6,JAVA,2,0,0,0,279.85,JOD
129442121-2,C++,2,1,2,2,394.60,Euro
281909365-5,java,2,0,2,1,330.75,Euro
891180630-7,c++,2,0,2,2,104.60,JOD
835256507-9,Python,1,0,1,1,327.40,Euro
966287295-7,Python,2,1,0,0,139.01,Euro
445852654-5,c++,1,2,2,2,301.73,Euro
186016772-1,JAVA,2,1,2,0,148.22,USD
494578798-0,C++,0,1,0,2,360.64,JOD
914320945-9,java,2,1,1,0,109.86,USD
724621172-1,PYTHON,2,2,0,2,450.64,Euro
520660334-1,PYTHON,1,2,1,2,488.02,USD
594464906-2,C++,1,2,1,0,291.79,Euro
861195789-X,Python,2,1,1,1,298.27,JOD
487347385-3,R,2,2,1,2,401.83,Euro
754780182-X,C++,0,1,2,0,456.76,USD
675346540-5,JAVA,0,1,2,1,311.21,JOD
354063363-4,Python,2,1,0,1,153.14,JOD
851031204-4,c++,2,1,1,2,226.51,JOD
542993260-4,PYTHON,2,1,1,1,183.46,Euro
285590568-0,java,1,0,2,2,419.06,USD
038497897-5,,1,1,0,0,399.95,JOD
274390674-X,JAVA,0,0,2,0,410.92,Euro
539871494-5,Python,1,2,2,1,312.21,Euro
941270867-X,R,1,2,2,0,225.01,USD
647928112-8,PYTHON,2,0,2,2,120.18,Euro
051427460-3,PYTHON,0,0,0,0,385.63,JOD
466110922-8,java,0,0,0,1,199.63,USD
798704285-4,JAVA,0,2,0,2,411.71,USD
438968749-2,c++,2,1,2,0,304.25,USD
995305392-8,C++,2,0,2,1,378.78,Euro
302069199-0,R,1,2,0,2,405.51,JOD
006895393-3,C++,2,0,1,2,485.97,Euro
425353023-0,java,0,1,1,1,273.64,Euro
888088495-6,c++,2,0,2,1,381.73,USD
793146478-8,PYTHON,1,0,2,1,314.81,USD
687242885-6,java,2,2,2,0,288.68,JOD
935179668-X,,0,1,1,0,203.91,Euro
278357015-7,java,2,1,1,2,211.88,Euro
451651437-0,C++,1,2,1,2,483.67,USD
835541314-8,C++,1,0,2,2,395.04,Euro
410834545-2,Python,2,0,2,2,357.85,USD
521727832-3,R,0,0,0,0,464.12,USD
285992837-5,java,2,2,0,2,251.43,JOD
417372883-2,JAVA,2,0,0,0,430.29,USD
714728071-7,c++,1,2,0,1,301.38,Euro
337835325-2,PYTHON,0,2,1,2,245.86,USD
341516321-0,Python,1,0,0,1,423.69,JOD
182744435-5,JAVA,2,1,1,2,234.36,JOD
698976556-9,java,2,2,1,0,174.44,JOD
912512285-1,,1,1,0,2,396.01,USD
789243708-8,JAVA,1,1,1,2,262.32,JOD
122227756-5,c++,0,1,0,0,229.35,Euro
723491837-X,C++,1,1,0,2,442.19,USD
215752245-X,Python,0,0,1,2,301.46,USD
965262383-0,c++,2,0,2,2,136.48,Euro
722916286-6,R,2,1,0,1,277.18,JOD
343110116-X,C++,2,1,2,2,402.09,JOD
821968208-6,Python,0,2,1,1,460.34,Euro
177778144-2,R,0,1,0,0,207.11,JOD
523754695-1,c++,1,1,1,1,173.54,Euro
393423532-8,c++,0,2,2,1,298.90,JOD
092126846-7,c++,1,2,1,2,201.56,Euro
568900728-5,PYTHON,2,1,2,1,353.53,USD
810648062-3,JAVA,1,0,2,0,117.01,Euro
963798778-9,R,2,2,2,0,343.43,USD
241716133-8,PYTHON,2,1,1,2,452.93,JOD
942349548-6,java,2,0,2,0,355.07,JOD
034674957-3,JAVA,0,0,2,2,446.81,Euro
484359459-8,PYTHON,1,0,1,1,358.47,USD
733104460-5,java,0,0,2,2,100.83,USD
752405028-3,java,1,0,1,0,282.68,USD
573053218-0,JAVA,1,2,0,0,130.83,Euro
072579180-2,Python,2,2,2,1,250.45,USD
655734022-0,R,0,2,0,2,498.79,Euro
224506390-2,Python,1,1,0,1,175.46,Euro
764043765-2,,2,1,0,0,186.98,USD
003496900-4,PYTHON,0,2,1,1,145.77,USD
327738870-0,c++,1,1,2,1,272.42,JOD
053836720-2,c++,0,0,1,1,468.12,USD
620935119-0,java,0,1,1,2,426.12,USD
730341790-7,Python,2,1,2,1,194.52,JOD
019554348-3,JAVA,2,0,1,2,367.17,JOD
379553983-8,JAVA,2,2,0,0,277.56,USD
492596913-7,c++,2,0,0,1,121.77,Euro
362398974-6,JAVA,2,2,0,0,269.30,Euro
061828316-1,c++,0,2,2,1,420.46,USD
563014509-6,R,2,2,0,1,217.69,Euro
913105968-6,R,2,2,1,2,487.86,JOD
574304430-9,R,0,2,0,0,247.18,USD
817784072-X,JAVA,0,1,1,0,286.62,Euro
832532904-1,PYTHON,1,1,0,0,156.83,Euro
237075288-2,C++,1,,0,2,387.96,JOD
319538102-8,R,0,1,2,0,118.82,JOD
901814132-1,PYTHON,1,0,2,0,221.99,JOD
740594536-8,JAVA,2,0,0,0,459.21,JOD
238660870-0,R,2,0,1,1,319.62,USD
079317607-7,R,1,0,2,0,498.09,Euro
636313519-2,Python,1,0,1,2,373.41,USD
351827597-6,C++,2,2,0,1,309.29,Euro
556950973-9,Python,2,0,1,2,358.11,Euro
199701860-8,c++,0,,2,0,205.61,Euro
871871906-6,JAVA,0,2,2,1,303.34,Euro
069718795-0,C++,1,1,1,1,336.57,USD
708499752-0,R,2,1,1,0,185.86,USD
699565754-3,R,1,1,2,0,173.97,Euro
064936073-7,R,1,2,1,0,184.75,USD
555871644-4,C++,0,2,0,2,202.88,JOD
211049549-9,c++,0,1,0,2,281.68,JOD
358495514-9,JAVA,0,2,0,2,475.62,USD
336441062-3,PYTHON,1,1,0,2,498.60,Euro
764995739-X,Python,1,1,1,1,332.86,Euro
830436814-5,Python,2,1,1,2,201.74,Euro
512298304-6,C++,0,0,2,2,406.39,Euro
371759305-6,R,0,1,1,2,218.12,Euro
671000555-0,c++,2,2,0,2,322.07,USD
785672998-8,PYTHON,0,0,0,0,352.96,JOD
001905805-5,Python,0,2,0,2,377.76,USD
929090029-6,java,2,2,1,1,383.16,Euro
838397239-3,R,2,1,0,0,283.35,Euro
376769574-X,c++,2,0,1,2,134.18,Euro
004051846-9,java,0,2,1,0,338.68,Euro
201143374-6,Python,0,2,2,0,457.52,JOD
731606903-1,JAVA,0,0,1,2,499.50,USD
815556761-3,java,0,2,0,2,105.19,USD
948566710-8,java,0,2,2,0,243.24,Euro
356484148-2,c++,0,2,2,1,335.69,USD
719967994-7,Python,0,1,2,1,166.31,USD
359188450-2,R,2,0,1,1,355.39,JOD
624656218-3,R,2,,0,2,102.06,Euro
021207112-2,c++,2,0,1,2,412.06,JOD
712388110-9,PYTHON,1,0,0,2,253.20,Euro
451621281-1,c++,2,1,0,2,193.91,USD
506100658-5,C++,2,,1,0,260.23,JOD
724933938-9,Python,0,0,1,2,245.32,USD
252398187-4,C++,0,1,0,1,452.20,JOD
043845512-6,java,0,0,2,0,168.53,USD
696300729-2,java,2,2,2,2,104.20,JOD
313492828-0,R,1,2,0,2,462.42,USD
476782133-9,Python,0,0,2,0,280.92,JOD
007160622-X,R,1,2,1,2,118.09,JOD
067160187-3,c++,1,0,0,2,393.86,JOD
075692474-X,c++,2,2,0,2,429.35,JOD
387701264-7,c++,1,1,2,2,375.53,USD
590483993-6,Python,2,1,2,2,420.08,Euro
282303668-7,C++,0,1,2,0,383.38,JOD
811921588-5,,1,1,0,2,112.07,JOD
263430127-8,Python,2,1,2,1,147.91,USD
236257182-3,Python,2,1,1,0,403.24,Euro
804777371-2,PYTHON,0,0,0,0,315.04,Euro
575062937-6,java,2,2,2,0,451.99,Euro
969873688-3,java,2,1,2,1,149.33,Euro
663605038-1,C++,2,0,1,1,499.29,USD
388231659-4,Python,1,0,0,1,136.05,JOD
180433898-2,Python,2,2,2,0,375.42,Euro
738598044-9,Python,0,1,2,2,381.03,Euro
556576239-1,C++,0,1,0,2,166.88,JOD
216712804-5,R,2,2,2,1,244.26,Euro
024398978-4,JAVA,1,0,2,1,256.17,JOD
634523507-5,PYTHON,2,0,0,1,204.53,Euro
859876682-8,PYTHON,1,1,2,2,444.92,USD
721856083-0,Python,2,1,2,2,225.85,USD
023148784-3,C++,1,1,0,2,472.18,Euro
650634925-5,JAVA,2,2,2,2,289.81,JOD
332859657-7,R,2,1,2,1,367.31,Euro
384646346-9,PYTHON,1,0,1,0,293.04,USD
371984253-3,Python,2,2,1,0,464.68,USD
512388991-4,C++,1,2,1,2,296.42,USD
089153221-8,java,1,1,1,1,497.56,JOD
894679937-4,C++,2,1,0,1,432.81,Euro
051843346-3,PYTHON,1,2,0,2,334.59,Euro
048731871-4,java,0,0,2,2,239.48,JOD
120584427-9,R,2,0,1,1,159.10,JOD
212971544-3,PYTHON,0,1,0,2,117.48,USD
779100861-0,Python,2,1,0,0,406.01,Euro
730301015-7,R,1,2,0,0,420.38,Euro
170501047-4,C++,1,0,1,0,238.96,JOD
019258898-2,c++,2,2,0,0,190.38,USD
816074566-4,JAVA,0,2,1,2,250.63,USD
205609014-7,c++,0,1,2,2,267.49,Euro
889675225-6,Python,0,1,1,1,362.30,JOD
829724376-1,JAVA,2,0,1,1,169.80,JOD
088085740-4,PYTHON,2,1,0,0,148.40,USD
511149731-5,JAVA,2,1,0,0,122.33,JOD
109148091-5,PYTHON,1,2,0,0,136.91,Euro
328989996-9,C++,1,0,0,2,399.98,Euro
002314615-X,R,0,1,1,1,153.37,USD
250888405-7,c++,2,2,0,2,316.68,JOD
