Company,Country,Department_1,Department_2,Department_3,Department_4,Salary,Currency
541161370-1,egypt,0,0,2,0,912.50,Euro
140031739-8,Jordan,2,0,1,1,1162.43,usd
962335503-3,Kuwait,0,0,0,1,1457.70,usd
510992320-5,jod,2,1,0,1,1394.49,USD
174458138-X,jod,0,2,1,1,1332.89,Euro
002393355-0,JOD,2,1,1,1,1288.52,euro
657375295-3,JOD,2,2,1,1,694.87,euro
506857683-2,JOD,1,1,0,0,1391.77,usd
301828710-X,Jordan,0,2,1,2,640.04,Euro
837731951-9,egypt,0,2,1,0,1212.89,euro
004512215-6,JOD,2,2,0,2,1400.45,USD
666286783-7,Jordan,2,0,1,0,623.70,USD
970367911-0,Jordan,2,0,2,0,1124.59,Euro
489979300-6,Jordan,1,1,0,2,1094.06,Euro
072753622-2,JOD,2,2,2,2,1339.31,JOD
674456065-4,JOD,1,0,2,0,1485.61,JOD
984533351-6,Kuwait,1,2,1,1,1460.57,Euro
555064363-4,JOD,2,1,1,2,1245.36,JOD
399635382-0,Jordan,1,0,0,1,1428.55,euro
547048643-5,Jordan,1,0,1,1,979.71,JOD
288883983-0,Jordan,1,2,2,1,1190.54,euro
937713234-7,JOD,0,1,1,0,1324.94,Euro
661798978-3,Kuwait,0,0,0,2,602.77,JOD
096006848-1,egypt,2,0,2,1,619.72,euro
287504171-1,jod,1,2,2,2,874.04,euro
139796670-X,jod,2,2,1,2,607.38,$
860856039-9,jod,1,0,2,0,837.45,usd
922082287-3,Kuwait,1,1,2,2,1410.78,Euro
294820696-0,Jordan,2,2,1,0,1069.52,Euro
920779256-7,Egypt,1,0,1,0,1211.36,euro
967955883-5,JOD,1,0,1,1,811.32,euro
850305973-8,Egypt,1,1,0,1,1074.50,USD
819437986-5,Jordan,2,0,1,0,627.07,euro
726919137-9,JOD,0,1,2,0,1495.33,USD
700619238-2,Jordan,0,1,1,2,851.31,$
811178790-1,Jordan,1,2,1,0,866.05,$
976044019-9,Egypt,1,1,0,2,1196.93,USD
644815430-2,Jordan,2,1,2,2,1455.51,Euro
614875226-3,Kuwait,2,1,2,0,1023.02,usd
596108317-9,,1,0,,2,1429.24,Euro
367274076-4,Egypt,0,0,2,2,1193.17,Euro
369265896-6,Jordan,2,2,0,0,637.59,usd
051616050-8,Egypt,0,2,1,0,1274.33,Euro
561462065-6,JOD,2,1,2,1,1428.80,JOD
101034484-6,JOD,2,1,1,2,675.63,USD
576442757-6,JOD,2,2,1,2,1209.53,usd
681425568-5,Kuwait,0,2,0,2,1074.34,Euro
468445454-1,jod,2,2,0,2,899.94,JOD
631693606-0,Kuwait,0,1,1,2,749.99,Euro
203431746-7,Kuwait,2,2,0,2,869.85,usd
287841485-3,Egypt,0,2,1,2,701.30,usd
361122105-8,Egypt,2,2,2,2,1039.14,USD
371256084-2,jod,0,2,2,1,1297.13,usd
287599182-5,jod,2,0,0,1,647.56,USD
495962279-2,JOD,1,0,2,1,781.26,Euro
043661552-5,Egypt,2,2,0,1,700.06,$
576111018-0,Jordan,1,1,0,0,924.08,USD
742415165-7,jod,1,0,2,0,633.69,JOD
033067209-6,egypt,0,0,0,0,893.64,euro
887267401-8,Egypt,2,0,0,2,738.70,Euro
538433950-0,JOD,1,2,0,1,676.77,$
008959749-4,Jordan,0,2,1,2,1041.80,USD
161642469-9,JOD,2,1,2,1,682.67,$
522235933-6,egypt,2,1,0,0,1445.97,usd
973662650-4,Egypt,2,2,0,2,1256.85,euro
412617395-1,egypt,0,2,2,1,1130.04,euro
745996380-1,jod,1,2,0,0,903.90,usd
556457700-0,egypt,0,0,1,1,929.50,usd
175152926-6,Jordan,0,0,1,0,1342.85,$
109327635-5,jod,0,2,1,1,614.87,Euro
473577249-9,jod,0,0,0,2,1478.38,JOD
174572004-9,Jordan,2,1,1,2,880.56,usd
482022459-X,Kuwait,1,0,1,0,1435.22,Euro
172685693-3,Kuwait,1,0,2,1,1314.45,usd
327379937-4,jod,1,0,0,0,940.71,$
143619618-3,Kuwait,1,0,0,0,673.69,USD
298154929-4,jod,1,2,2,0,623.52,JOD
120759501-2,jod,2,1,1,1,1210.07,USD
569519336-2,JOD,1,0,2,2,1498.34,JOD
197333002-4,Egypt,2,1,0,0,855.86,euro
764781037-5,Jordan,0,1,1,1,760.74,JOD
985874418-8,JOD,0,2,1,2,1081.35,JOD
251249906-5,,1,1,,1,1422.15,$
933873110-3,egypt,0,1,1,1,802.16,USD
079805998-2,Egypt,2,0,0,2,1039.76,Euro
113760159-0,JOD,0,0,2,0,619.84,Euro
967013255-X,JOD,0,1,1,0,828.27,USD
486584339-6,jod,2,0,1,0,628.20,euro
024577646-X,Egypt,2,1,2,2,697.70,euro
019342425-8,Kuwait,0,0,0,2,1123.99,Euro
499591253-3,egypt,1,1,0,1,739.89,JOD
653962006-3,egypt,1,0,2,1,757.72,Euro
625959492-5,JOD,0,0,0,2,1395.44,euro
030114029-4,egypt,2,2,1,0,1157.00,usd
