ItemId,Item Type ,Store1,Store-2,Store_3,Store-4,Sales,Currency
40-202-4621,f,1,0,1,0,284.44,Euro
60-228-4619,F,1,0,0,1,478.00,Euro
75-652-5868,Drink,0,0,1,1,491.73,Euro
25-450-6517,Drink,1,1,0,0,375.43,Dollar
74-969-4159,DR,1,1,1,0,412.40,Euro
93-341-3104,f,1,0,0,1,313.81,Dollar
67-509-5598,Food,0,0,1,0,439.42,Dollar
98-440-4757,F,0,1,1,0,401.60,Dollar
88-417-1321,Drink,0,1,0,1,336.61,Dollar
84-030-8461,f,0,0,0,1,336.93,Dollar
41-104-6505,Food,0,0,0,0,343.15,Euro
32-891-0534,F,1,0,0,0,362.33,Euro
55-296-8165,DR,1,0,1,0,283.76,Dollar
04-834-7954,Food,0,1,0,1,397.90,Dollar
34-361-2430,Food,1,0,0,0,279.29,Euro
63-022-6161,f,0,1,1,0,407.58,Dollar
57-414-0515,Drink,0,1,1,1,400.74,Euro
16-635-0746,Drink,1,1,0,1,458.53,Euro
03-456-3406,DR,1,1,0,0,465.16,Dollar
96-462-6657,DR,0,1,1,0,403.10,Dollar
19-385-0490,DR,1,1,0,0,492.19,Euro
64-380-8711,Drink,0,1,0,1,371.81,Dollar
18-206-2182,Food,0,0,1,1,449.19,Euro
16-033-2077,Drink,0,0,0,0,439.13,Euro
48-538-8188,Food,0,0,1,1,331.01,Dollar
10-673-2088,Drink,1,1,0,1,370.60,Dollar
07-531-2874,,0,1,1,0,254.22,Dollar
65-085-6166,f,1,0,1,1,464.37,Euro
78-070-3804,DR,1,0,0,1,268.44,Euro
04-091-6075,Food,1,0,1,1,319.88,Dollar
04-249-0447,F,1,1,0,1,429.23,Dollar
08-156-1832,Drink,0,1,0,0,483.58,Euro
48-690-4503,f,1,0,1,1,453.41,Dollar
43-905-5957,Food,1,1,0,0,299.39,Dollar
70-389-6437,F,1,1,0,1,292.94,Dollar
06-812-0828,F,1,0,1,1,369.27,Dollar
66-842-5291,DR,0,1,1,0,326.89,Euro
61-846-1231,Drink,1,1,1,0,496.56,Dollar
19-987-1126,f,1,0,0,1,402.11,Euro
27-227-3570,f,1,1,0,1,470.39,Euro
51-158-7794,Drink,0,0,0,1,401.59,Euro
51-416-0602,F,0,0,0,1,363.56,Euro
25-498-2749,F,1,1,0,0,426.33,Dollar
79-869-1989,,0,1,0,1,334.44,Euro
88-964-0244,F,1,0,1,1,261.70,Euro
44-603-8478,DR,1,1,1,1,470.86,Dollar
55-049-3177,f,1,0,0,1,439.08,Euro
63-139-5625,F,0,0,0,1,263.07,Dollar
49-961-9854,Food,1,0,1,0,305.04,Dollar
60-297-4301,f,0,0,1,1,275.17,Euro
17-712-5772,,0,0,1,0,477.57,Euro
59-554-1406,F,1,0,0,1,477.73,Dollar
61-889-6968,Food,0,1,1,1,447.13,Dollar
28-149-6560,Food,1,1,0,1,430.91,Dollar
16-184-9514,Drink,0,1,1,1,264.38,Dollar
01-573-5954,Drink,1,1,0,1,361.26,Euro
89-016-3057,F,1,1,1,1,389.59,Euro
05-949-3862,DR,1,0,0,1,313.08,Dollar
29-410-8759,F,0,1,1,0,453.43,Dollar
09-419-9696,,1,1,1,0,347.09,Euro
79-992-7728,Drink,1,1,1,1,292.42,Dollar
29-953-2103,F,0,0,1,0,271.13,Euro
59-503-3562,Food,1,0,0,0,375.17,Euro
50-560-0792,Food,1,1,0,0,340.34,Euro
80-663-2103,Food,1,0,1,1,474.80,Dollar
78-297-4175,F,1,1,0,0,386.96,Dollar
50-693-8332,F,0,0,0,0,262.80,Dollar
73-440-9873,f,1,0,1,0,267.06,Dollar
04-076-5224,Drink,1,1,0,1,308.15,Dollar
27-342-3090,DR,0,0,0,1,489.65,Euro
73-466-7910,F,0,1,1,1,284.74,Euro
71-763-6076,Drink,1,1,1,1,276.45,Dollar
00-623-0594,Food,0,1,1,1,377.04,Euro
54-668-1033,DR,1,0,1,0,399.88,Dollar
26-397-7353,Food,0,0,0,1,448.64,Dollar
14-063-6631,F,0,0,1,0,357.16,Dollar
65-844-9099,Drink,1,1,0,1,488.68,Euro
70-402-3125,F,1,0,0,1,360.47,Euro
95-176-7594,Drink,1,1,1,0,455.49,Dollar
55-726-4395,Drink,0,0,0,0,277.85,Dollar
56-629-9177,,1,0,1,1,386.32,Dollar
88-536-3428,F,1,1,1,0,354.37,Dollar
49-464-4860,Drink,1,0,0,1,389.19,Dollar
21-577-5008,F,0,0,1,0,276.75,Dollar
52-177-5353,DR,1,1,0,1,394.38,Euro
38-912-5291,Food,1,1,1,0,315.57,Euro
35-351-7960,DR,1,0,0,1,492.86,Euro
32-402-3592,DR,0,0,0,1,347.85,Euro
80-010-8192,DR,0,0,0,0,321.39,Dollar
96-533-3430,F,1,1,1,1,461.52,Dollar
49-988-6708,f,1,0,1,0,345.19,Dollar
20-530-3149,f,1,0,1,1,454.42,Euro
28-424-9866,f,1,1,0,1,380.34,Dollar
37-985-8169,,0,0,1,0,475.07,Euro
88-567-1243,DR,0,0,1,1,299.13,Euro
67-106-6030,Drink,1,1,0,0,451.82,Euro
72-063-1561,DR,1,0,1,1,372.75,Dollar
