StoreID,City,Item1,Item2,Item3,Item4,MonthlySales,Currency
427363394-9,zaqra,1,0,1,0,49377.94,USD
246448117-3,Capital City,2,2,1,1,27618.67,JOD
255571296-8,zaqra,1,2,0,2,26634.80,USD
667144593-1,Amman,0,0,2,1,35432.53,JOD
437195515-0,Amman,2,0,0,2,49518.61,USD
707192876-2,zaqra,2,1,1,2,34815.08,USD
905596913-3,zaqra,1,1,2,1,23448.88,USD
759869747-7,,2,2,0,0,17562.93,USD
232751088-0,Zarqa,1,1,0,2,45691.72,USD
692819156-2,zaqra,0,2,2,0,15176.44,USD
940522863-3,Capital City,0,1,0,1,48784.77,USD
519766212-3,A'zarqa,0,2,2,2,20149.94,USD
549813851-2,Capital City,1,1,1,2,42096.79,JOD
472084364-6,zaqra,1,1,0,1,32207.77,JOD
623727082-5,Amman,1,0,1,2,38494.47,USD
987987509-5,Amman,1,2,1,1,12949.01,JOD
397721194-3,Amman,0,2,2,0,28166.40,JOD
097677960-9,amman,0,2,0,1,35771.67,JOD
338262636-5,A'zarqa,2,0,1,2,42139.51,JOD
557287798-0,Zarqa,2,0,0,2,27950.88,USD
362264311-0,,2,1,1,1,18879.85,USD
201716843-2,Capital City,1,0,0,1,23519.64,JOD
452591846-2,A'zarqa,1,2,1,1,28396.95,JOD
850495489-7,A'zarqa,2,1,1,1,25231.81,JOD
522125941-9,Amman,0,2,2,0,43261.00,JOD
329731511-3,amman,1,2,0,1,22456.33,USD
388346571-2,Capital City,2,1,0,1,14747.01,JOD
911190531-X,Zarqa,2,2,0,1,15202.45,USD
818233906-5,A'zarqa,1,1,2,0,46172.66,USD
032211723-2,Zarqa,2,2,0,0,12409.49,USD
052151544-0,Amman,1,0,0,0,41681.39,USD
894352135-9,amman,1,0,1,1,12524.70,JOD
926615920-4,amman,1,0,2,2,21774.08,USD
371282167-0,zaqra,2,1,2,0,14555.79,JOD
350351516-X,amman,1,2,0,2,12486.55,USD
043952817-8,,2,1,0,2,42177.42,JOD
838293146-4,Zarqa,1,1,0,2,24630.60,JOD
615109614-2,zaqra,2,2,2,1,17641.62,USD
218641088-5,zaqra,2,0,0,2,35748.31,USD
254959593-9,Capital City,2,1,2,0,46020.00,USD
718240925-9,amman,1,2,0,1,22990.83,JOD
876212511-7,zaqra,2,1,2,0,20561.21,JOD
206804119-7,Amman,2,0,2,2,25116.52,JOD
732973118-8,A'zarqa,0,1,1,2,36790.08,JOD
320491795-9,,1,2,2,2,46754.59,JOD
062544935-5,Capital City,0,1,0,0,51533.29,JOD
619898727-2,Amman,0,2,2,2,46202.15,JOD
275777540-5,Capital City,1,1,2,1,45705.28,USD
949485616-3,zaqra,2,1,2,2,46814.72,USD
575785052-3,A'zarqa,1,0,0,2,16314.99,JOD
040892604-X,Capital City,1,0,0,2,18031.73,JOD
269666577-X,Zarqa,1,2,1,1,13196.02,JOD
435662223-5,amman,1,1,1,1,31174.23,JOD
729951754-X,Amman,1,2,1,1,33726.66,JOD
692029786-8,,2,1,0,2,23374.68,JOD
864590736-4,Amman,2,0,1,1,52639.96,USD
750333269-7,zaqra,0,1,0,0,32796.55,JOD
387356083-6,Capital City,0,2,0,1,41860.17,USD
179325518-0,Capital City,2,1,1,1,28316.55,USD
714753578-2,A'zarqa,2,0,1,1,18432.73,JOD
993028948-8,A'zarqa,0,0,1,0,32774.76,USD
323229350-6,Capital City,0,1,0,2,42720.17,USD
983098322-6,A'zarqa,0,1,0,2,35488.11,USD
277655265-3,Capital City,0,1,0,1,24115.62,JOD
859149169-6,Zarqa,2,1,2,0,31900.29,USD
270919271-3,zaqra,0,0,0,0,31099.81,USD
562143106-5,A'zarqa,1,0,0,2,50390.39,USD
259965611-7,Capital City,2,0,0,0,15549.71,JOD
986552245-4,Capital City,0,1,0,0,28340.96,USD
370189003-X,amman,0,2,1,0,34567.12,USD
008935381-1,amman,2,2,2,0,12971.09,USD
676809644-3,Amman,2,0,0,1,35975.64,USD
489235159-8,,0,1,0,1,38487.76,USD
509915695-9,Zarqa,0,1,2,1,32524.19,USD
905544035-3,A'zarqa,1,0,2,1,31000.39,JOD
684783561-3,Capital City,1,2,2,2,44522.05,USD
483842942-8,zaqra,1,2,0,1,51320.87,JOD
794203394-5,Zarqa,1,0,1,1,45582.51,USD
704759810-3,Zarqa,0,1,1,0,18225.25,JOD
558811358-6,,2,1,2,2,48841.83,USD
937762110-0,zaqra,0,1,1,1,44627.03,JOD
849083340-0,,0,0,2,1,32591.42,USD
117175450-7,amman,2,0,0,0,41477.77,JOD
608953959-7,,1,0,1,2,37014.43,USD
673846004-X,zaqra,0,0,2,0,20370.67,USD
949468499-0,,1,0,0,0,31315.23,USD
456377467-7,Zarqa,2,2,1,1,24576.53,USD
195230137-8,Capital City,0,2,1,1,16150.77,USD
523649702-7,amman,2,1,0,0,34841.86,USD
621332139-X,zaqra,1,2,0,1,42171.59,JOD
287518385-0,Zarqa,1,1,0,2,12404.56,JOD
878295364-3,Capital City,0,1,0,2,32529.09,JOD
316236330-6,amman,2,2,1,1,36353.84,USD
055568564-0,A'zarqa,1,1,1,2,43927.73,JOD
936368422-9,A'zarqa,1,1,0,1,38492.64,USD
771268728-5,amman,0,1,2,1,39747.14,JOD
350885173-7,Zarqa,0,2,2,0,35880.41,JOD
602561924-7,zaqra,0,1,0,0,45692.15,JOD
717540978-8,Capital City,2,2,0,1,37774.60,JOD
393765313-9,Capital City,1,0,0,2,27110.85,USD
545207450-3,Amman,1,2,0,2,18234.42,JOD
482506621-6,amman,2,0,1,0,31880.11,JOD
736012754-8,Amman,2,1,2,0,27204.70,USD
753667386-8,zaqra,2,2,1,1,26372.05,JOD
886713102-8,A'zarqa,0,2,0,1,17888.81,JOD
460871194-6,amman,1,0,1,2,15943.94,USD
699004722-4,A'zarqa,2,2,0,1,23472.93,USD
059978559-4,Zarqa,2,0,1,2,36943.83,USD
224484049-2,amman,1,2,2,1,20411.10,JOD
617210315-6,Zarqa,2,2,0,0,16651.14,USD
280575784-X,amman,2,2,0,2,40292.68,JOD
507117608-4,Amman,2,0,0,2,42650.08,JOD
155347789-8,A'zarqa,1,0,0,1,19534.68,JOD
970676235-3,amman,2,2,0,1,25747.34,USD
343068237-1,zaqra,2,1,0,1,37870.67,JOD
097560114-8,amman,1,2,0,1,29465.72,USD
085788160-4,amman,0,0,2,0,34161.22,JOD
667627187-7,A'zarqa,0,0,0,0,28207.77,USD
440369243-5,Amman,2,0,0,1,22039.15,USD
915156759-8,Amman,2,1,0,2,18578.14,JOD
906562596-8,amman,0,2,1,1,30486.05,JOD
544574535-X,zaqra,1,2,0,1,49742.41,USD
052330823-X,A'zarqa,0,2,2,2,28245.01,JOD
626513180-X,,0,2,1,2,21461.34,JOD
112871873-1,A'zarqa,1,0,2,2,48211.34,USD
797583798-9,Capital City,0,0,2,0,20156.14,USD
972148656-6,Zarqa,2,1,2,0,15038.88,JOD
408872026-1,zaqra,2,2,1,0,45769.23,USD
000664333-7,Amman,2,2,0,2,29424.65,USD
209646479-X,Zarqa,0,1,0,2,31878.62,USD
302310193-0,zaqra,1,0,0,1,38783.43,USD
916484068-9,Amman,0,0,1,1,25588.02,USD
549380516-2,Amman,0,2,2,1,13560.60,JOD
596927767-3,Amman,1,2,1,0,33266.93,JOD
362698030-8,Capital City,2,1,1,0,32137.47,USD
794789662-3,Amman,0,0,0,0,24818.30,USD
230444548-9,zaqra,1,2,0,0,33093.09,USD
776019975-9,Amman,2,0,1,0,34171.86,JOD
899738054-0,amman,1,2,2,1,47939.88,JOD
277993557-X,Zarqa,0,2,1,2,47556.99,USD
525450225-8,Amman,1,1,2,2,33602.22,USD
612684582-X,Amman,1,0,1,2,36228.30,JOD
815614129-6,Zarqa,1,0,0,2,31732.64,USD
216298098-3,A'zarqa,2,1,0,2,16397.67,USD
518271932-9,amman,2,1,0,2,26356.98,USD
075758289-3,Zarqa,0,0,1,0,18148.21,USD
298206682-3,Amman,2,1,0,2,13154.44,USD
200764109-7,zaqra,1,1,0,1,31243.80,JOD
189092266-8,Zarqa,2,0,1,1,38903.68,JOD
464562482-2,zaqra,2,1,2,2,31738.74,USD
890308522-1,zaqra,2,0,0,2,14626.24,JOD
667923163-9,zaqra,2,0,1,1,37315.09,JOD
837535445-7,zaqra,1,0,2,2,37589.36,USD
059723271-7,Capital City,2,0,0,1,49914.96,JOD
614909849-4,A'zarqa,2,1,0,2,25609.44,JOD
547393555-9,amman,0,2,2,0,18355.09,USD
102021240-3,zaqra,2,0,2,2,20636.28,USD
593410816-6,A'zarqa,2,0,1,1,12040.57,JOD
281108706-0,Zarqa,0,1,1,0,48447.14,USD
607321526-6,Zarqa,0,1,1,1,35492.08,JOD
952308418-6,amman,2,0,0,0,33909.13,JOD
083600288-1,amman,1,2,0,2,15165.96,USD
477639962-8,Capital City,2,1,2,2,41084.58,USD
551415213-8,amman,0,1,1,2,51489.07,USD
104045607-3,Capital City,0,2,0,0,23429.68,USD
151839518-X,Capital City,2,2,1,1,35542.29,USD
652528889-4,A'zarqa,2,2,1,0,34831.16,JOD
449991394-2,Zarqa,0,2,2,0,48770.88,JOD
249933087-2,Amman,0,0,2,0,21402.42,USD
948154229-7,A'zarqa,0,0,2,1,29843.82,USD
466974061-X,zaqra,2,0,2,2,13596.08,JOD
544734345-3,zaqra,2,1,1,1,42839.64,JOD
377412499-X,zaqra,2,2,2,0,18196.88,USD
532996369-9,Amman,2,2,2,1,52793.92,USD
485021465-7,Amman,1,0,2,0,44096.85,USD
809802978-6,zaqra,2,0,0,2,32407.83,USD
393069309-7,amman,2,1,0,0,43477.16,USD
793925991-1,,0,2,2,0,50953.29,USD
461467375-9,zaqra,2,2,1,0,17428.83,JOD
283315031-8,Amman,1,0,2,1,52141.13,USD
899810586-1,A'zarqa,0,2,0,0,28176.75,JOD
587222690-X,Capital City,1,2,0,1,29433.15,JOD
724951477-6,Amman,2,0,1,2,49823.58,JOD
760619389-4,Amman,2,1,1,1,36717.59,JOD
842018283-4,A'zarqa,0,1,2,2,33845.32,USD
529899105-X,Capital City,1,2,0,0,47787.89,JOD
009112863-3,,2,1,2,2,52047.72,USD
062377739-8,Zarqa,0,0,2,0,31639.34,JOD
996785961-X,A'zarqa,1,0,2,2,32350.92,USD
243496136-3,Amman,0,2,2,0,51246.07,USD
063464849-7,Amman,1,1,1,1,50745.84,USD
131207126-5,zaqra,1,0,1,2,22876.44,USD
771266221-5,Amman,2,0,1,2,46631.98,USD
705037573-X,Zarqa,2,1,2,2,22410.89,USD
308798155-9,zaqra,0,0,1,2,19741.97,JOD
291515495-3,A'zarqa,2,0,2,2,32882.13,JOD
615290921-X,zaqra,2,2,1,1,41156.04,JOD
530602341-X,Capital City,1,0,0,2,21213.29,JOD
795188180-5,Zarqa,1,2,0,2,24101.09,USD
467810018-0,Capital City,0,0,1,1,51719.65,JOD
659237839-5,A'zarqa,0,2,1,2,27789.47,USD
377795433-0,,2,0,2,0,37728.20,USD
237329812-0,Zarqa,2,2,0,1,52367.04,USD
802509087-6,Capital City,2,1,1,2,13073.70,JOD
479867053-7,Capital City,2,2,1,1,23988.54,USD
645372456-1,Zarqa,1,0,2,0,19912.91,JOD
151137730-5,Amman,0,1,0,2,15741.54,USD
379112302-5,Amman,2,0,2,1,48456.12,JOD
380609106-4,zaqra,1,1,0,0,27418.70,JOD
861529143-8,zaqra,2,2,1,2,52807.75,JOD
058154272-X,Zarqa,2,0,2,1,47569.92,USD
347005358-8,amman,1,0,1,0,15897.21,JOD
615592637-9,Zarqa,2,1,2,0,47441.52,USD
205023751-0,A'zarqa,0,1,0,0,14732.66,USD
579075148-2,Zarqa,2,0,0,0,36887.29,USD
663143560-9,Zarqa,1,2,2,2,38861.05,JOD
329346101-8,zaqra,0,2,2,2,30607.62,JOD
286798494-7,Zarqa,2,1,1,0,49457.36,JOD
104687317-2,Amman,2,1,2,0,13668.36,USD
129056775-1,,2,1,2,0,29808.62,JOD
463324029-3,A'zarqa,1,2,1,1,46040.86,USD
125505543-X,A'zarqa,2,2,2,0,42329.36,JOD
186428098-0,Amman,1,2,1,0,16259.33,JOD
333728234-2,Zarqa,2,1,2,0,31492.66,JOD
359214503-7,A'zarqa,2,1,1,0,32615.54,USD
259844691-7,Amman,1,1,0,2,32242.65,USD
854133540-2,Amman,1,0,0,2,40211.69,JOD
161485583-8,Capital City,2,2,2,1,48059.54,USD
122735241-7,Amman,2,0,0,1,16000.81,JOD
616736367-6,zaqra,1,0,0,2,24721.77,JOD
711901562-1,Capital City,1,1,2,2,14557.16,USD
263924324-1,A'zarqa,1,2,1,2,18203.43,JOD
480481747-6,Amman,2,2,1,1,51413.15,USD
980287434-5,A'zarqa,2,1,1,2,20108.65,JOD
428774190-0,A'zarqa,0,1,2,0,47800.95,USD
560335203-5,Capital City,2,0,0,1,37837.23,JOD
060901114-6,amman,1,2,0,2,52400.69,JOD
892678836-9,Zarqa,1,0,1,2,51581.15,USD
789578201-0,amman,2,0,2,1,28675.49,JOD
294363577-4,Amman,0,1,2,2,43946.86,JOD
473721608-9,zaqra,2,0,0,2,24700.94,USD
967000891-3,A'zarqa,2,1,1,1,29869.07,USD
317746652-1,Amman,1,2,2,2,33804.38,JOD
569985951-9,Amman,0,0,0,0,26304.71,JOD
659786366-6,A'zarqa,2,0,1,2,44893.91,USD
883520656-1,Capital City,2,2,2,0,22994.95,JOD
187091757-X,zaqra,2,0,1,0,14073.76,USD
499840424-5,Capital City,1,2,0,0,44634.38,USD
367242280-0,Zarqa,2,2,2,0,17312.03,USD
512052190-8,Zarqa,0,2,2,2,15072.99,USD
259400170-8,amman,1,2,1,2,18032.78,USD
868500637-6,zaqra,0,2,2,1,18178.24,JOD
155169489-1,zaqra,0,0,2,1,32224.33,USD
791255526-9,Amman,0,2,0,2,14193.86,JOD
