Project_ID,ProgrammingLanguage,Employee1,Employee2,Employee-3,Employee-4,Award,Currency
236521765-6,R,1,2,1,2,139.69,jod
748776668-3,PYTHON,2,2,2,1,373.86,euro
715031064-8,C++,2,0,1,2,233.79,euro
663840382-6,R,2,0,1,2,213.40,euro
228303598-8,C++,2,1,0,1,296.28,Euro
823549273-3,,2,2,1,1,445.57,jod
909761647-6,C++,2,0,1,2,111.68,Dollar
864700919-3,python,2,2,2,1,210.78,Euro
658617813-4,Python,0,2,2,0,197.27,JOD
159895477-6,JAVA,1,0,1,1,369.70,USD
976142860-5,,2,1,1,2,159.49,Dollar
997543160-7,PYTHON,2,1,2,2,220.35,Dollar
697634168-4,java,0,1,0,2,282.50,Dollar
458713132-6,R,2,0,1,0,108.50,Euro
148354970-4,python,2,0,1,0,413.48,Dollar
587276601-7,c++,2,0,2,2,343.38,jod
936714479-2,Python,0,0,1,1,257.14,JOD
131451959-X,java,0,1,2,0,108.56,jod
332530697-7,Python,2,0,2,2,430.29,Dollar
408037563-8,python,0,2,0,2,417.32,USD
221717161-5,PYTHON,0,1,1,2,370.47,USD
993306638-2,C++,1,0,2,2,406.84,JOD
699442074-4,c++,0,1,0,2,116.80,JOD
429767592-7,python,2,2,2,0,220.32,Dollar
965793411-7,c++,1,1,1,2,338.37,Euro
745203732-4,C++,1,2,2,2,452.72,jod
642014225-3,Python,0,2,2,2,222.38,USD
512744718-5,JAVA,1,0,2,2,158.01,euro
181746745-X,r,2,0,1,2,329.89,Dollar
056579683-6,python,1,2,0,1,306.21,JOD
159405758-3,R,2,0,2,0,108.64,USD
110438972-X,Python,1,0,2,2,400.40,Euro
220361880-9,PYTHON,2,2,1,1,352.73,jod
220123794-8,R,0,0,0,2,293.26,USD
868443632-6,python,1,1,0,2,300.40,JOD
168985330-1,c++,0,2,2,1,173.87,jod
489080589-3,c++,0,0,0,0,419.23,jod
316141398-9,R,0,2,2,1,356.70,jod
395093058-2,python,2,1,0,1,391.98,jod
649127224-9,JAVA,1,0,0,1,180.90,JOD
917740400-9,C++,2,0,2,1,296.53,Euro
154999806-4,R,0,1,0,2,453.55,euro
322895626-1,R,1,0,1,2,176.07,Euro
666666047-1,java,0,1,0,0,134.54,Dollar
784244580-X,R,1,0,0,1,249.32,jod
275924685-X,JAVA,0,2,0,2,224.68,USD
561298813-3,PYTHON,1,0,1,0,387.52,JOD
316123583-5,python,0,2,1,2,363.35,jod
674766027-7,C++,1,1,0,2,274.12,Euro
210446701-2,Python,1,0,2,2,302.19,jod
541051743-1,python,2,1,2,1,112.28,Euro
438248642-4,C++,1,1,1,1,490.36,jod
984276413-3,Python,0,0,2,1,229.90,jod
679291659-5,c++,2,1,0,1,354.33,euro
533871376-4,r,2,1,1,2,439.47,Euro
032533709-8,java,2,1,1,2,444.83,JOD
810642784-6,Python,1,0,1,1,305.36,Dollar
840618545-7,C++,2,0,1,1,170.31,jod
967625162-3,C++,1,0,1,0,208.81,JOD
301999978-2,JAVA,0,0,1,1,326.10,JOD
906535534-0,java,1,2,1,2,446.65,JOD
498113447-9,c++,1,2,0,0,497.88,USD
033819553-X,C++,2,1,2,0,286.33,USD
616963309-3,JAVA,2,1,2,1,197.21,Dollar
517129812-2,Python,2,0,1,1,196.05,Euro
937441102-4,R,0,2,0,0,270.11,jod
794274386-1,PYTHON,1,0,2,0,496.88,Euro
890267048-1,Python,0,0,1,2,439.94,USD
645509320-8,JAVA,0,1,1,1,239.76,Dollar
