Project_ID,Programming Language,Employee_1,Employee_2,Employee_3,Employee_4,Award,Currency
082812513-9,Python,0,0,1,1,438.91,Euro
587363615-X,R,2,2,1,0,347.38,Euro
832541916-4,Python,2,1,2,0,449.20,JOD
993159542-6,c++,1,1,1,1,393.75,USD
976902691-3,Python,2,0,0,0,370.31,JOD
284425103-X,java,0,0,2,2,448.96,JOD
858413746-7,R,1,1,2,0,403.03,USD
222481508-5,PYTHON,1,2,1,0,247.20,USD
985392721-7,PYTHON,1,2,0,0,484.22,Euro
358523564-6,Python,2,0,1,2,323.42,Euro
307358780-2,c++,0,0,2,0,344.64,JOD
767487712-4,,2,0,1,1,347.18,JOD
918256212-1,java,2,2,0,2,196.19,USD
896043750-6,JAVA,1,2,1,1,240.42,JOD
845926507-2,PYTHON,0,0,2,2,216.32,JOD
485489107-6,C++,1,0,1,1,164.63,USD
204294183-2,C++,1,2,0,1,280.20,JOD
633459569-5,,1,2,0,0,178.26,Euro
175411912-3,R,0,2,2,2,413.15,JOD
935196585-6,R,1,1,1,0,243.94,USD
489264504-4,PYTHON,1,,2,1,239.33,Euro
770436651-3,c++,1,2,2,2,498.91,JOD
301742658-0,JAVA,1,0,1,0,379.66,USD
500993850-2,c++,0,0,2,1,364.73,JOD
736367509-0,java,1,0,0,2,445.99,USD
456453460-2,C++,2,0,0,1,134.77,USD
543796862-0,c++,1,0,0,2,460.18,Euro
296530805-9,c++,2,1,0,1,241.17,JOD
983854754-9,PYTHON,1,2,0,2,362.39,USD
831595828-3,Python,2,2,0,0,205.25,Euro
591846401-8,Python,0,2,2,1,346.61,Euro
571478972-5,java,2,1,1,1,147.83,JOD
777493159-7,JAVA,0,1,1,0,487.42,JOD
089653935-0,java,0,1,2,0,105.70,Euro
833827032-6,PYTHON,1,2,0,2,399.71,USD
203067728-0,PYTHON,1,0,1,0,499.51,JOD
404776409-4,c++,0,1,0,0,430.30,JOD
340541358-3,Python,1,2,0,0,229.23,JOD
403717086-8,java,2,0,2,2,288.23,JOD
047819266-5,C++,2,,1,2,324.13,JOD
740001214-2,R,0,2,0,1,407.09,JOD
402922654-X,R,0,0,2,1,387.80,Euro
144997108-3,java,0,2,1,1,215.89,USD
417199853-0,R,2,0,0,1,362.04,USD
794280125-X,PYTHON,0,2,2,1,427.66,Euro
363078635-9,R,2,0,0,1,189.09,USD
866858013-2,JAVA,1,1,2,2,294.05,USD
167024087-8,Python,2,1,2,1,334.50,JOD
275964207-0,JAVA,0,1,2,2,332.49,JOD
