Item-id,Item Type ,Store_1,Store_2,Store_3,Store_4,Sales,Currency
63-765-3836,f,0,0,0,0,410.90,Dollar
05-530-2275,f,0,0,1,1,469.56,Dollar
15-802-9083,Food,0,0,1,0,374.72,Euro
17-743-4134,,0,0,1,0,425.18,Euro
26-885-0508,DR,0,0,1,0,399.14,Euro
39-803-9136,F,0,1,0,0,385.02,Euro
51-290-9674,Food,1,0,0,0,378.55,Dollar
28-115-3643,Food,0,0,1,1,390.75,Dollar
73-129-8997,DR,0,0,0,1,352.10,Dollar
34-408-7144,Drink,0,0,1,1,437.18,Dollar
56-210-7763,F,1,1,1,1,280.62,Dollar
71-549-3178,Drink,0,1,1,0,376.24,Dollar
57-513-4864,F,0,1,0,1,380.92,Dollar
36-248-9198,F,1,1,1,1,406.60,Dollar
05-317-2559,F,0,1,0,1,356.01,Dollar
59-636-3249,f,1,1,1,0,433.65,Dollar
60-332-2154,f,1,1,1,1,270.64,Dollar
77-252-2111,Food,0,1,0,1,342.07,Euro
41-188-9343,F,0,1,1,1,344.65,Euro
51-065-2196,DR,1,1,1,1,417.46,Euro
73-962-2659,f,0,1,1,1,444.86,Euro
51-664-0232,F,0,1,0,1,294.78,Euro
91-055-3442,Drink,0,1,0,0,492.88,Euro
02-180-2148,DR,0,1,1,0,303.38,Euro
91-064-4628,DR,1,0,0,1,381.49,Dollar
83-431-5914,DR,1,0,0,1,260.43,Dollar
71-642-2451,Drink,1,0,1,0,497.63,Dollar
51-759-0927,F,0,1,1,0,409.75,Dollar
24-334-5736,Drink,0,0,0,1,473.67,Euro
86-588-4060,f,0,1,1,1,456.29,Dollar
10-520-7707,DR,0,0,1,0,437.97,Euro
51-846-9255,F,0,1,0,1,265.21,Dollar
77-289-1710,DR,0,0,0,1,336.22,Euro
91-017-0106,f,0,1,0,1,424.09,Euro
03-761-3526,Drink,1,1,1,0,250.88,Euro
29-609-2589,F,0,0,0,1,367.02,Dollar
56-523-7221,F,1,1,1,0,406.50,Euro
72-874-3647,f,1,1,1,1,425.16,Euro
31-990-6923,Drink,1,1,1,0,399.83,Euro
65-444-7668,DR,1,0,0,0,381.20,Dollar
35-449-8102,f,1,0,1,1,420.62,Dollar
83-333-3457,f,0,0,1,0,456.69,Dollar
85-412-3200,f,1,0,1,1,331.00,Euro
83-945-8238,F,1,0,1,1,365.27,Dollar
23-963-5531,f,0,0,1,1,297.76,Euro
84-922-7165,F,0,1,1,0,417.62,Dollar
88-688-3520,DR,1,1,0,1,286.51,Dollar
27-676-6626,Food,1,1,1,0,475.33,Dollar
53-010-9956,F,1,1,1,0,301.84,Dollar
42-230-6586,F,0,1,1,1,465.00,Dollar
51-087-6998,Drink,1,0,1,1,372.30,Dollar
41-040-7017,,0,1,0,1,308.79,Euro
30-565-3316,Food,1,1,1,0,424.78,Euro
05-363-1632,DR,1,0,1,1,283.11,Dollar
74-833-3934,,1,1,0,0,434.53,Euro
91-577-2608,DR,0,1,0,0,293.16,Dollar
36-554-8102,f,1,0,1,0,347.80,Dollar
49-801-8548,Food,0,0,1,0,354.98,Dollar
10-190-6074,f,1,1,1,0,324.38,Dollar
20-621-2594,DR,0,1,0,1,493.73,Dollar
76-983-9356,,1,0,0,0,359.38,Euro
20-234-4305,F,1,0,1,0,286.15,Dollar
69-899-8406,Drink,0,0,1,1,387.47,Euro
13-554-1140,f,0,1,1,1,362.36,Euro
37-805-1614,Food,0,0,0,0,380.06,Dollar
03-191-6742,Food,0,1,0,1,404.38,Dollar
