Store_ID,City,Item1,Item2,Item3,Item4,Monthly_Sales,Currency
391684401-6,zaqra,2,2,0,0,42007.14,USD
543593928-3,amman,2,0,0,2,18022.45,JOD
229531456-9,zaqra,1,2,1,1,44036.01,JOD
930798187-6,zaqra,1,1,0,2,30669.62,USD
113849245-0,amman,0,1,2,2,36015.68,USD
766557246-4,amman,0,2,1,2,45334.39,USD
728823606-4,Zarqa,0,1,2,0,51384.63,JOD
194774171-3,zaqra,1,0,2,0,37050.24,USD
680639751-4,A'zarqa,1,2,1,0,26826.23,JOD
952252117-5,Amman,2,0,2,2,35141.57,USD
839764245-5,amman,1,0,2,1,21787.33,JOD
154503370-6,Zarqa,1,2,0,1,29056.60,JOD
404002767-1,amman,1,0,2,1,13384.74,JOD
616684673-8,Amman,1,1,0,1,49377.25,JOD
992260435-3,A'zarqa,0,2,0,2,45307.29,USD
480159876-5,Zarqa,2,0,2,1,29172.94,USD
953762889-2,Zarqa,1,1,1,2,29402.52,USD
105916233-4,Zarqa,2,2,2,1,22961.27,USD
527713219-8,zaqra,0,1,1,2,21666.48,JOD
010222940-6,zaqra,1,2,0,2,35055.26,USD
875631855-3,A'zarqa,0,0,1,2,51210.12,USD
827825177-0,A'zarqa,2,0,0,0,42207.39,JOD
409859007-7,Zarqa,2,1,0,2,38624.06,USD
314996574-8,Capital City,2,2,0,1,23291.11,USD
313048169-9,Zarqa,1,0,1,2,32779.04,USD
551627432-X,Amman,1,0,2,2,40609.56,JOD
768207319-5,A'zarqa,1,0,2,1,18421.92,JOD
607584249-7,Capital City,1,0,0,1,26133.22,JOD
015108219-7,Amman,2,2,1,2,29536.57,JOD
972260488-0,zaqra,0,2,0,2,19846.40,USD
113213183-9,Zarqa,0,2,2,1,35024.21,JOD
737500539-7,Zarqa,0,0,2,0,24667.76,USD
649913779-0,Zarqa,2,2,2,1,40014.29,JOD
038023332-0,Capital City,0,0,2,2,16312.42,USD
336662988-6,A'zarqa,1,2,0,0,39327.27,JOD
479322637-X,Capital City,1,2,0,0,48494.73,USD
146746507-0,A'zarqa,1,1,2,0,19704.81,USD
451248141-9,,1,1,1,0,16163.67,USD
222218801-6,Capital City,0,1,1,1,15439.77,JOD
833992085-5,Zarqa,0,1,2,2,46090.69,USD
940536601-7,A'zarqa,1,2,2,1,14364.29,JOD
836905279-7,amman,1,0,1,2,35199.56,JOD
709280300-4,A'zarqa,0,0,1,0,24542.69,JOD
928441938-7,Amman,1,0,0,1,20494.20,USD
736665432-9,Zarqa,1,0,1,0,35495.41,USD
556563440-7,zaqra,1,0,1,2,41900.44,JOD
922565999-7,amman,1,0,1,1,14654.93,JOD
704005111-7,Amman,2,1,0,1,48087.41,JOD
334546722-4,amman,0,0,1,2,51743.33,JOD
381507601-3,Amman,2,1,0,2,25330.55,USD
358904250-8,Capital City,2,2,1,0,21743.91,USD
346445026-0,amman,2,2,1,2,28300.72,USD
534163557-4,A'zarqa,2,0,0,2,43205.03,USD
140946649-3,amman,2,2,0,0,20574.67,USD
944244066-7,Amman,2,1,0,2,16377.74,USD
448721005-4,zaqra,0,0,2,2,17145.33,JOD
